X;Result
-2.0000000000;NaN
-1.5000000000;NaN
-1.0000000000;NaN
-0.5000000000;NaN
0.0000000000;NaN
0.5000000000;-0.4309341715
1.0000000000;0.0000000000
1.5000000000;0.2520504285
2.0000000000;0.4309341715
2.5000000000;0.5692303742
3.0000000000;0.6828154781
